| Location | File | Line | pCloud Reference | Purpose |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 242 | `? uiForm.pcloudImageUrls[0]` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 246 | `: (uiForm.pcloudImageUrls && uiForm.pcloudImageUrls.length > 0)` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 247 | `? uiForm.pcloudImageUrls[0]` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 288 | `// ── pCloud / External URL Delivery (temporary, ~2-3 weeks) ─────────────` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 290 | `pcloud_download_link: uiForm.pcloudDownloadLink \|\| null,` | pCloud download link metadata/reference field |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 291 | `image_urls:           Array.isArray(uiForm.pcloudImageUrls)` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 292 | `? uiForm.pcloudImageUrls.filter(Boolean)` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 296 | `preview_images:       Array.isArray(uiForm.pcloudImageUrls) && uiForm.pcloudImageUrls.length > 0` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 297 | `? uiForm.pcloudImageUrls.filter(Boolean)` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 358 | `pcloud_download_link: p.pcloud_download_link \|\| null,` | pCloud download link metadata/reference field |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 769 | `pcloud_download_link: saved.pcloud_download_link \|\| null,` | pCloud download link metadata/reference field |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 770 | `pcloudDownloadLink:   saved.pcloud_download_link \|\| null,` | pCloud download link metadata/reference field |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 837 | `pcloud_download_link: saved.pcloud_download_link \|\| null,` | pCloud download link metadata/reference field |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 838 | `pcloudDownloadLink:   saved.pcloud_download_link \|\| null,` | pCloud download link metadata/reference field |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 2144 | `// ── pCloud / External URL Delivery (temporary, ~2-3 weeks) ──────────────` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 2145 | `pcloudDownloadLink: product?.pcloud_download_link \|\| product?.pcloudDownloadLink \|\| '',` | pCloud download link metadata/reference field |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 2146 | `pcloudImageUrls:    Array.isArray(product?.image_urls)` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 2178 | `// ── pCloud Image URLs — dynamic list input ───────────────────────────────` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 2179 | `const [pcloudImageInput, setPcloudImageInput] = useState('');` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 2385 | `// Add backend URLs to image_urls (pcloudImageUrls) so they persist` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 2386 | `handleChange('pcloudImageUrls', [` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 2387 | `...form.pcloudImageUrls,` | Unknown |
